benchmark,mode,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions,batch_lcps_invocations,batch_lcps_available_slots_total,batch_lcps_candidates_generated,batch_lcps_candidates_selected,batch_lcps_candidate_generation_failures,batch_lcps_avg_candidate_pool_size,batch_lcps_avg_selected_batch_size,batch_lcps_effective_batch_decisions
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,PAPER,true,true,8,SAFE,40948,9,0,2,16.460714285714285,0.4572420634920635,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,PAPER,true,true,16,SAFE,44400,17,0,2,41.47239288489287,0.3049440653300946,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,LCPS,true,true,4,SAFE,45237,5,0,2,6.416666666666667,0.6416666666666667,2,0,36,36,25,0,4,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,LCPS,true,true,8,SAFE,40846,9,0,2,16.460714285714285,0.4572420634920635,2,0,150,150,121,0,8,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,LCPS,true,true,16,SAFE,44270,17,0,2,41.47239288489287,0.3049440653300946,2,0,618,618,505,0,16,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,BATCH_LCPS,true,true,4,SAFE,39172,5,0,0,6.416666666666667,0.6416666666666667,2,0,0,0,0,0,0,0,0,0,2,4,16,4,0,8.0,2.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,BATCH_LCPS,true,true,8,SAFE,41648,9,0,0,16.460714285714285,0.4572420634920635,2,0,0,0,0,0,0,0,0,0,2,8,32,8,0,16.0,4.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,BATCH_LCPS,true,true,16,SAFE,56336,17,0,0,41.47239288489287,0.3049440653300946,2,0,0,0,0,0,0,0,0,0,2,16,36,16,0,18.0,8.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,PAPER,true,true,4,SAFE,51329,5,0,2,6.416666666666667,0.6416666666666667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,PAPER,true,true,8,SAFE,53027,9,0,2,16.460714285714285,0.4572420634920635,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,PAPER,true,true,16,SAFE,56510,17,0,2,41.47239288489287,0.3049440653300946,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,LCPS,true,true,4,SAFE,40721,5,0,2,6.416666666666667,0.6416666666666667,2,0,36,36,25,0,4,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,LCPS,true,true,8,SAFE,52984,9,0,2,16.460714285714285,0.4572420634920635,2,0,150,150,121,0,8,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,LCPS,true,true,16,SAFE,56506,17,0,2,41.47239288489287,0.3049440653300946,2,0,618,618,505,0,16,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,BATCH_LCPS,true,true,4,SAFE,51290,5,0,0,6.416666666666667,0.6416666666666667,2,0,0,0,0,0,0,0,0,0,2,4,16,4,0,8.0,2.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,BATCH_LCPS,true,true,8,SAFE,53058,9,0,0,16.460714285714285,0.4572420634920635,2,0,0,0,0,0,0,0,0,0,2,8,32,8,0,16.0,4.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,BATCH_LCPS,true,true,16,SAFE,45235,17,0,0,41.47239288489287,0.3049440653300946,2,0,0,0,0,0,0,0,0,0,2,16,36,16,0,18.0,8.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_4.i_2-d2b55c6a,PAPER,true,true,4,SAFE,27205,5,0,2,6.416666666666667,0.6416666666666667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_4.i_2-d2b55c6a,PAPER,true,true,8,SAFE,29064,9,0,2,16.460714285714285,0.4572420634920635,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_4.i_2-d2b55c6a,PAPER,true,true,16,SAFE,32479,17,0,2,41.47239288489287,0.3049440653300946,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_4.i_2-d2b55c6a,LCPS,true,true,4,SAFE,27239,5,0,2,6.416666666666667,0.6416666666666667,2,0,36,36,25,0,4,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_4.i_2-d2b55c6a,LCPS,true,true,8,SAFE,77207,9,0,2,16.460714285714285,0.4572420634920635,2,0,150,150,121,0,8,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_4.i_2-d2b55c6a,LCPS,true,true,16,SAFE,45259,17,0,2,41.47239288489287,0.3049440653300946,2,0,618,618,505,0,16,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_4.i_2-d2b55c6a,BATCH_LCPS,true,true,4,SAFE,27239,5,0,0,6.416666666666667,0.6416666666666667,2,0,0,0,0,0,0,0,0,0,2,4,16,4,0,8.0,2.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_4.i_2-d2b55c6a,BATCH_LCPS,true,true,8,SAFE,29036,9,0,0,16.460714285714285,0.4572420634920635,2,0,0,0,0,0,0,0,0,0,2,8,32,8,0,16.0,4.0,0
